customer_id,city,region,city_tier,age_band,gender,occupation,monthly_income_inr,diet_preference,fitness_goal,current_mood_state,primary_meal_occasion,preferred_cuisine,spice_preference,packaging_preference,preferred_order_channel,preferred_payment_mode,delivery_speed_preference,meal_plan_preference,price_sensitivity_score,health_orientation_score,convenience_need_score,personalization_interest_score,subscription_interest_score,social_media_influence_score,office_lunch_need_score,breakfast_need_score,indulgence_score,preferred_product_category_1,preferred_product_category_2,order_frequency_per_month,avg_order_value_inr,monthly_food_delivery_spend_inr,discount_response_pct,likely_to_try_moodmeal,bundle_affinity,subscription_propensity,health_segment,purchase_intent_score,purchase_intent_label,sales_funnel_stage,age_band_code,city_tier_code,purchase_intent_binary,bundle_affinity_code,subscription_propensity_code,sales_funnel_stage_code,fitness_goal_score,diet_preference_score,income_segment,avg_order_value_segment,monthly_spend_segment,wellness_index,value_seeking_index,digital_convenience_index,meal_need_intensity_index,customer_potential_score,priority_segment
MM100023,Kolkata,East,Metro,25-34,Female,Creative/Media,29215,Veg,High Protein/Fitness,Happy/Social,Lunch,Continental,Mild,Value/Functional,Own App/Website,Wallet,Under 20 min,Weekly Subscription,46,41,84,70,11,55,30,85,22,Breakfast & Snack Boxes,Personalised Healthy Meal Bowls,4,329,1073,22,0,Low,Low,Medium,47,Not Interested,Low Intent Lead,2,1,0,1,1,1,9,6,Budget,Mid Premium,Light,60.4,35.2,51.8,53.8,35.1,Low Potential
MM100024,Jaipur,North,Tier 2,45-54,Female,Entrepreneur/Freelancer,111995,Veg,Weight Loss,Health-Focused,Office Meal,Fusion,Medium,Value/Functional,Zomato/Swiggy,Cash on Delivery,20-40 min,Weekly Subscription,75,90,32,100,41,29,100,73,36,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,1,557,680,24,0,Low,Medium,High,70,Interested,Awareness/Consideration,4,3,1,1,2,2,10,6,Upper Affluent,High Premium,Light,85.5,52.0,41.6,65.0,55.8,Nurture
MM100025,Hyderabad,South,Metro,35-44,Male,Student,18594,Veg,Weight Loss,Health-Focused,Breakfast,Indian,Mild,Eco-friendly,Own App/Website,UPI,20-40 min,Monthly Subscription,52,61,32,46,50,100,46,94,46,Breakfast & Snack Boxes,Functional Beverages & Mood Drinks,5,304,1891,24,0,Low,Medium,Medium,54,Not Interested,Awareness/Consideration,3,1,0,1,2,2,10,6,Budget,Mid Premium,Light,72.4,39.4,46.3,56.7,44.4,Low Potential
MM100026,Chennai,South,Metro,45-54,Female,Teacher/Academia,62962,Eggetarian,Balanced Eating,Low Energy,Office Meal,Fusion,Mild,Value/Functional,Own App/Website,Credit/Debit Card,Planned/Subscription,On-demand,91,82,56,78,60,69,100,50,47,Functional Beverages & Mood Drinks,Personalised Healthy Meal Bowls,1,342,266,26,0,Medium,Medium,High,57,Not Interested,Low Intent Lead,4,1,0,2,2,1,8,7,Affluent,Mid Premium,Light,78.4,61.8,55.2,62.9,53.0,Nurture
MM100027,Indore,Central,Tier 2,18-24,Female,Homemaker,47930,Veg,High Protein/Fitness,Busy/Pressed for Time,Dinner,Pan-Asian,Medium,Value/Functional,WhatsApp/Instagram,UPI,20-40 min,On-demand,40,50,82,45,34,59,25,65,27,Breakfast & Snack Boxes,Personalised Healthy Meal Bowls,5,335,1617,20,0,Medium,Low,Medium,50,Not Interested,Low Intent Lead,1,3,0,2,1,1,9,6,Mass Premium,Mid Premium,Light,64.5,31.0,50.5,48.6,40.2,Low Potential
MM100028,Coimbatore,South,Tier 2,35-44,Male,Corporate Professional,228953,Vegan,Convenience First,Happy/Social,Office Meal,Indian,Medium,Eco-friendly,Zomato/Swiggy,UPI,20-40 min,On-demand,65,74,87,85,32,56,54,59,12,Functional Beverages & Mood Drinks,Personalised Healthy Meal Bowls,5,643,3809,19,1,Medium,Low,High,70,Interested,Awareness/Consideration,3,3,1,2,1,2,5,10,Premium,High Premium,Moderate,73.3,44.3,59.1,59.4,56.1,Nurture
MM100029,Mumbai,West,Metro,35-44,Female,Corporate Professional,58077,Non-Veg,High Protein/Fitness,Busy/Pressed for Time,Mid-evening Snack,Continental,Medium,Value/Functional,Zomato/Swiggy,UPI,20-40 min,Weekly Subscription,47,46,67,66,49,44,41,51,27,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,4,429,1713,24,1,Medium,Medium,Medium,72,Interested,High Intent Lead,3,1,1,2,2,3,9,6,Mass Premium,Premium,Light,62.7,36.7,49.4,47.2,52.3,Nurture
MM100030,Chennai,South,Metro,35-44,Female,Corporate Professional,96906,Non-Veg,Balanced Eating,Happy/Social,Breakfast,Pan-Asian,Medium,Eco-friendly,Own App/Website,UPI,20-40 min,On-demand,74,90,95,39,60,39,82,92,47,Office Lunch & Subscription Packs,Breakfast & Snack Boxes,3,446,1237,26,0,Medium,Medium,High,53,Not Interested,Low Intent Lead,3,1,0,2,2,1,8,6,Affluent,Premium,Light,79.5,52.4,53.1,76.1,48.3,Nurture
MM100031,Delhi NCR,North,Metro,18-24,Male,Teacher/Academia,28996,Non-Veg,Weight Loss,Busy/Pressed for Time,Dinner,North Indian,Medium,Value/Functional,Quick Commerce,UPI,20-40 min,On-demand,44,83,82,75,30,53,44,45,35,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,4,346,1080,20,1,Low,Low,High,82,Interested,Trial Ordered,1,1,1,1,1,4,10,6,Budget,Mid Premium,Light,82.4,33.2,54.7,49.2,54.3,Nurture
MM100032,Pune,West,Tier 1,18-24,Female,Corporate Professional,17557,Non-Veg,Balanced Eating,Stressed,Lunch,Indian,Medium,Value/Functional,Zomato/Swiggy,UPI,20-40 min,On-demand,48,69,49,63,19,90,26,27,60,Comfort Food Combo Boxes,Personalised Healthy Meal Bowls,5,217,1177,26,0,Low,Low,Medium,41,Not Interested,Low Intent Lead,1,2,0,1,1,1,8,6,Budget,Mass,Light,70.0,38.1,48.2,34.5,37.1,Low Potential
MM100033,Kolkata,East,Metro,25-34,Female,Corporate Professional,124935,Veg,High Protein/Fitness,Health-Focused,Dinner,Indian,Medium,Eco-friendly,Zomato/Swiggy,UPI,Planned/Subscription,On-demand,76,72,54,74,66,83,23,6,30,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,5,596,3646,23,0,Low,Medium,High,60,Interested,Awareness/Consideration,2,1,1,1,2,2,9,6,Upper Affluent,High Premium,Moderate,74.4,52.2,57.5,28.8,56.2,Nurture
MM100034,Pune,West,Tier 1,55+,Male,Teacher/Academia,97210,Veg,High Protein/Fitness,Busy/Pressed for Time,Late-night Craving,Continental,Medium,Eco-friendly,Zomato/Swiggy,Cash on Delivery,Under 20 min,Weekly Subscription,61,38,77,95,80,72,22,66,29,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,5,540,2076,31,0,Medium,Medium,Medium,63,Interested,Awareness/Consideration,5,2,1,2,2,2,9,6,Affluent,Premium,Moderate,59.1,47.5,68.5,46.8,60.0,Nurture
MM100035,Hyderabad,South,Metro,35-44,Male,Student,7058,Veg,Weight Loss,Health-Focused,Dinner,Mediterranean,Spicy,Premium,Corporate Bulk,UPI,Under 20 min,Monthly Subscription,95,100,59,83,41,75,56,63,22,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,4,386,1446,36,0,Medium,Low,High,65,Interested,High Intent Lead,3,1,1,2,1,3,10,6,Budget,Mid Premium,Light,90.0,68.4,55.4,55.0,56.3,Nurture
MM100036,Kolkata,East,Metro,18-24,Male,Healthcare/Service,47723,Veg,High Protein/Fitness,Low Energy,Dinner,North Indian,Medium,Eco-friendly,Quick Commerce,Wallet,Planned/Subscription,Monthly Subscription,63,85,60,71,96,68,53,34,57,Functional Beverages & Mood Drinks,Personalised Healthy Meal Bowls,5,300,1401,34,0,Medium,High,High,56,Not Interested,Low Intent Lead,1,1,0,2,3,1,9,6,Mass Premium,Mass,Light,80.2,50.0,60.2,48.7,61.7,High Potential
MM100037,Bhubaneswar,East,Tier 2,25-34,Male,Government/Public Sector,36804,Non-Veg,Comfort/Indulgence,Busy/Pressed for Time,Breakfast,South Indian,Medium,Value/Functional,Corporate Bulk,UPI,20-40 min,Monthly Subscription,43,24,78,41,92,65,11,100,57,Breakfast & Snack Boxes,Comfort Food Combo Boxes,10,340,3878,27,1,Medium,High,Low,75,Interested,Awareness/Consideration,2,3,1,2,3,2,5,6,Mass Premium,Mid Premium,Moderate,40.8,35.8,58.4,61.1,60.0,Nurture
MM100038,Hyderabad,South,Metro,35-44,Male,Homemaker,43097,Jain,High Protein/Fitness,Busy/Pressed for Time,Dinner,Continental,Medium,Eco-friendly,Zomato/Swiggy,Credit/Debit Card,20-40 min,Monthly Subscription,71,97,72,76,22,60,74,13,0,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,4,452,1414,13,0,Low,Low,High,63,Interested,Awareness/Consideration,3,1,1,1,1,2,9,7,Mass Premium,Premium,Light,88.1,44.9,52.1,51.6,48.8,Nurture
MM100039,Kochi,South,Tier 2,35-44,Male,Entrepreneur/Freelancer,72480,Veg,High Protein/Fitness,Stressed,Mid-evening Snack,Indian,Spicy,Eco-friendly,Own App/Website,UPI,20-40 min,Monthly Subscription,54,47,47,67,39,49,36,52,15,Personalised Healthy Meal Bowls,Comfort Food Combo Boxes,4,497,1793,15,1,Low,Low,Medium,67,Interested,Trial Ordered,3,3,1,1,1,4,9,6,Affluent,Premium,Light,63.2,36.4,43.2,42.4,47.4,Nurture
MM100040,Pune,West,Tier 1,25-34,Female,Corporate Professional,67842,Jain,High Protein/Fitness,Busy/Pressed for Time,Dinner,Indian,Medium,Value/Functional,Quick Commerce,Credit/Debit Card,Under 20 min,On-demand,53,90,82,63,37,33,30,13,51,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,4,466,1531,26,0,Medium,Low,High,62,Interested,High Intent Lead,2,2,1,2,1,3,9,7,Affluent,Premium,Light,85.0,40.8,49.3,35.6,50.7,Nurture
MM100041,Hyderabad,South,Metro,35-44,Male,Student,11220,Veg,Weight Loss,Happy/Social,Breakfast,Indian,Medium,Value/Functional,WhatsApp/Instagram,Cash on Delivery,20-40 min,Monthly Subscription,65,43,42,66,51,79,68,68,50,Comfort Food Combo Boxes,Functional Beverages & Mood Drinks,4,289,1078,14,1,Low,Medium,Medium,50,Not Interested,Awareness/Consideration,3,1,0,1,2,2,10,6,Budget,Mass,Light,64.4,42.0,49.2,58.5,43.6,Low Potential
MM100042,Mumbai,West,Metro,25-34,Male,Corporate Professional,55349,Mixed/Flexible,Balanced Eating,Stressed,Office Meal,Pan-Asian,Spicy,Premium,Corporate Bulk,UPI,20-40 min,On-demand,53,75,80,59,18,42,87,53,26,Office Lunch & Subscription Packs,Personalised Healthy Meal Bowls,6,322,2099,32,0,Medium,Low,High,62,Interested,Awareness/Consideration,2,1,1,2,1,2,8,6,Mass Premium,Mid Premium,Moderate,72.8,43.6,46.9,72.1,46.0,Nurture
MM100043,Kolkata,East,Metro,18-24,Female,Retired,31645,Eggetarian,Comfort/Indulgence,Busy/Pressed for Time,Mid-evening Snack,Continental,Medium,Premium,Zomato/Swiggy,Credit/Debit Card,Planned/Subscription,On-demand,41,52,72,72,29,54,0,51,68,Functional Beverages & Mood Drinks,Breakfast & Snack Boxes,2,175,380,17,0,Low,Low,Medium,45,Not Interested,Low Intent Lead,1,1,0,1,1,1,5,7,Mass Premium,Low Ticket,Light,55.9,30.2,51.2,27.6,38.1,Low Potential
MM100044,Pune,West,Tier 1,55+,Female,Corporate Professional,181608,Jain,Convenience First,Busy/Pressed for Time,Mid-evening Snack,South Indian,Medium,Premium,Own App/Website,UPI,20-40 min,On-demand,29,54,95,80,40,100,74,91,73,Office Lunch & Subscription Packs,Functional Beverages & Mood Drinks,6,582,2707,20,1,Medium,Medium,Medium,81,Interested,Repeat Customer,5,2,1,2,2,5,5,7,Premium,High Premium,Moderate,56.8,25.0,70.5,78.6,57.7,Nurture
MM100045,Bengaluru,South,Metro,25-34,Male,Corporate Professional,98173,Mixed/Flexible,Convenience First,Stressed,Dinner,North Indian,Spicy,Value/Functional,Own App/Website,Credit/Debit Card,Planned/Subscription,Monthly Subscription,78,69,35,62,96,36,85,87,71,Office Lunch & Subscription Packs,Breakfast & Snack Boxes,9,527,3811,30,0,Medium,High,Medium,57,Not Interested,Low Intent Lead,2,1,0,2,3,1,5,6,Affluent,Premium,Moderate,61.0,56.4,44.5,79.0,62.6,High Potential
MM100046,Pune,West,Tier 1,55+,Male,Entrepreneur/Freelancer,215888,Veg,Weight Loss,Stressed,Dinner,Indian,Medium,Value/Functional,Zomato/Swiggy,Credit/Debit Card,Under 20 min,Weekly Subscription,95,64,61,59,42,66,57,43,47,Comfort Food Combo Boxes,Personalised Healthy Meal Bowls,4,693,2242,32,0,Low,Low,Medium,61,Interested,Trial Ordered,5,2,1,1,1,4,10,6,Premium,High Premium,Moderate,73.8,66.6,49.6,50.7,47.1,Nurture
MM100047,Ahmedabad,West,Tier 1,25-34,Female,Government/Public Sector,130652,Veg,Balanced Eating,Stressed,Breakfast,Indian,Mild,Eco-friendly,Quick Commerce,Credit/Debit Card,20-40 min,On-demand,48,45,67,48,35,50,67,67,62,Comfort Food Combo Boxes,Breakfast & Snack Boxes,1,441,430,20,0,Low,Medium,Medium,44,Not Interested,Low Intent Lead,2,2,0,1,2,1,8,6,Upper Affluent,Premium,Light,59.2,35.4,45.0,55.6,34.3,Low Potential
MM100048,Jaipur,North,Tier 2,35-44,Female,Teacher/Academia,39549,Non-Veg,Balanced Eating,Stressed,Lunch,Indian,Spicy,Value/Functional,WhatsApp/Instagram,Wallet,20-40 min,Weekly Subscription,60,96,80,51,0,23,99,0,58,Personalised Healthy Meal Bowls,Office Lunch & Subscription Packs,3,427,1304,13,1,Low,Low,High,66,Interested,High Intent Lead,3,3,1,1,1,3,8,6,Mass Premium,Premium,Light,82.2,38.8,38.8,57.6,41.0,Low Potential
MM100049,Mumbai,West,Metro,25-34,Male,Entrepreneur/Freelancer,32629,Non-Veg,Comfort/Indulgence,Low Energy,Lunch,Indian,Spicy,Eco-friendly,WhatsApp/Instagram,Credit/Debit Card,Planned/Subscription,On-demand,80,58,38,72,68,43,66,50,43,Functional Beverages & Mood Drinks,Breakfast & Snack Boxes,4,161,746,24,1,Low,Medium,Medium,71,Interested,Awareness/Consideration,2,1,1,1,2,2,5,6,Mass Premium,Low Ticket,Light,56.1,54.8,44.6,52.6,55.4,Nurture
MM100050,Hyderabad,South,Metro,25-34,Male,Homemaker,93075,Non-Veg,Weight Loss,Busy/Pressed for Time,Dinner,Indian,Mild,Eco-friendly,Zomato/Swiggy,Credit/Debit Card,Under 20 min,Weekly Subscription,21,62,90,56,53,60,89,59,50,Office Lunch & Subscription Packs,Personalised Healthy Meal Bowls,8,396,2522,13,1,Medium,Medium,Medium,74,Interested,Awareness/Consideration,2,1,1,2,2,2,10,6,Affluent,Mid Premium,Moderate,72.9,17.4,58.2,79.8,56.0,Nurture
MM100051,Chennai,South,Metro,45-54,Female,Teacher/Academia,92547,Non-Veg,Balanced Eating,Happy/Social,Late-night Craving,Pan-Asian,Medium,Premium,WhatsApp/Instagram,UPI,Under 20 min,On-demand,59,93,58,86,43,39,32,81,2,Personalised Healthy Meal Bowls,Functional Beverages & Mood Drinks,5,496,2578,40,1,Medium,Low,High,80,Interested,Repeat Customer,4,1,1,2,1,5,8,6,Affluent,Premium,Moderate,80.8,50.4,48.8,51.8,62.3,High Potential
MM100052,Lucknow,North,Tier 2,25-34,Male,Healthcare/Service,50752,Veg,Comfort/Indulgence,Health-Focused,Dinner,Mediterranean,Spicy,Eco-friendly,Zomato/Swiggy,Credit/Debit Card,20-40 min,On-demand,71,22,56,70,51,83,23,23,36,Functional Beverages & Mood Drinks,Comfort Food Combo Boxes,2,226,478,19,1,Low,Low,Low,52,Not Interested,Awareness/Consideration,2,3,0,1,1,2,5,6,Mass Premium,Mass,Light,39.9,47.6,55.0,27.4,41.4,Low Potential
